B0009XLVG0,B001L1KH6Y,B003THML30,B004YWHTBS,B003WLC4VC,B003THQKXM,B003NZHOQ2,B005LXGGH2,B000G82L5I,B000FBQ5EY,B003THTKZC,B003UE2X2G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000G6RPMY,B000WHPNI0,B0042GZSU0,B001SAYN1I,B0000DG55X,B003747XQ0,B004OE573S,B001E5E3XU,B000P1GDLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B0059WXJKM,B0027XXHSK,B002J6PBRU,B003TFQKS4,B0012URWP8,B0008IV4W2,B0009PAIOE,B001F8L2YE,B003JCCRI4,B000V9EIIU,B000YSXDDY,B0000DJDJZ,B0015V7E48,B002WOE5EE,B000ORXYYS,B000QNNQOS,B001F8N170,B0009P5EJS,B0029U7OBM,B004L5UCQM
B004X2KR36,B0015R9BQG,B000LKXJEI,B000LKZD4W,B0041PEES4,B000LKU3K6,B000LKU3A6,B000LKVL16,B0001VAFF8,B001EO5UKG,B000LKU3DI,B003XUJ3I4,B000V0QW3S,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B004X2KR36,B000FDKQCY,B000II27QE,B0015UX574,B003ZUMHMQ,B001E5DWYG,B003ZUJ350,B001PNUO3Y,B001FSJCPK,B000JOE224,B000JSLYSU,B00472JIDM,B000OQ66L2,B003ZU0SWC,B003WEFU7E,B0049D5GA8,NaN,NaN,NaN,NaN
B005R8JE8O,B003VXFK44,B006N3IG4K,B005R8JDEE,B0033HPPIY,B003VXHGPK,B004I0C6NM,B003VXHGE6,B0075EXJBG,B003VXL0V6,B0045IO2XO,B003TC7WN4,B006N3IE6A,B004FGWU9O,B003VXHGDM,B005GAORJE,B007OXJKF2,NaN,NaN,NaN
B0019CW0HE,B001EQ4H3A,B001BZ7MCW,B004B44ZQ6,B0013Z1R1W,B004B3WWC6,B0018CFN92,B0013Z40U2,B0013Z0PTW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B004K2IHUO,B006L4FNB0,B0017JFXZA,B009AVD282,B002Y1CVZU,B000PKFZ0A,B00815FR68,B000PKMN14,B006L4FMR0,B000OGPIUM,B00154J5OC,B0009CIVPK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B004K2IHUO,B006L4FNB0,B00115FPV2,B009AVD282,B002Y1CVZU,B00815FR68,B000PKMN14,B006L4FMR0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B004K2IHUO,B005O072PC,B0088YBUOU,B001717UJA,B006L4FNB0,B0017141NS,B009AVD282,B0000DJ7RX,B002Y1CVZU,B001G0NI0M,B00815FR68,B000PKMN14,B006L4FMR0,B0000DJ7TL,B001EQ554K,B0017165SW,B0017140MK,B0000DJ7SR,NaN,NaN
B004K2IHUO,B000FI2VL8,B006L4FNB0,B009AVD282,B002Y1CVZU,B00815FR68,B000PKMN14,B006L4FMR0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B004K2IHUO,B00126AQB4,B00126ES6S,B006L4FNB0,B00126ICNI,B009AVD282,B002Y1CVZU,B00126AQAU,B00815FR68,B000PKMN14,B006L4FMR0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B004K2IHUO,B006L4FNB0,B009AVD282,B002Y1CVZU,B00815FR68,B000PKMN14,B006L4FMR0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B004K2IHUO,B006L4FNB0,B009AVD282,B002Y1CVZU,B00815FR68,B000PKMN14,B006L4FMR0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001REEG6C,B008YAXFWI,B0025UALB6,B005TY2REE,B000X2CWTM,B00061KXUA,B003H7YHUW,B000F5429A,B0036FOV2O,B004TEVGHO,B001HTIPC8,B004YPV15A,B0054TWQ2C,B000II27QE,B0036QHQ5C,B0036QHQ5C,B000HQR096,B005GX5DAS,B000O82AGU,B001HTG3IQ
B003SE19UK,B000OCRNAE,B000G201FG,B0018CJZ64,B003SE58KW,B0006MWNQ6,B003SE19AK,B0006MWNPW,B001BOTDP2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B003SE19UK,B003MCEV0I,B000G201FG,B000FDMQJA,B003SE58KW,B003SE19AK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B003OB0IB8,B000F0Z0T6,B000LKTKCI,B000EZIEFO,B000OYIDMY,B004PX9JPA,B000EP1OSI,B004721UTM,B0004LZSYS,B0014EOU2U,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B003OB0IB8,B003OB2FV4,B003OB4BOS,B0025UOMZM,B00411W2TQ,B003OB6CGI,B003OB6BHS,B001AY8570,B003OB4BFW,B0025UOMY8,B003OB6CBI,B003OB4D46,B003OB0JHG,B000QFOXTS,B003OB2DM0,NaN,NaN,NaN,NaN,NaN
B002SRYRE8,B003TIVBSU,B000ZE9NM2,B0002NYO20,B0002NYO2K,B004IS42K4,B001VNGNSS,B003P72FOY,B0002NYO1Q,B0002NYO1G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001GVISJW,B0029J9U8S,B003XUJ564,B003ZXCEYE,B00317ERWQ,B003MULV4O,B003DNL9V0,B0040J7HIU,B003XUJ3RK,B003ZXE6YK,B001YXNZ5O,B0040PSRJM,B0044CR12A,B004N5J60S,B003ZXE80M,B004YV81MA,B004N5HL0A,B004X8TL96,B003ZXHDSQ,B001M09BOS
B001GVISJW,B000E3XCEE,B001EQ587E,B000KELHNU,B000E1HVR0,B000KEJMS2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001GVISJW,B004X8TK9W,B000FA398U,B000084EKO,B000084EKA,B000084EKB,B000084EKC,B000084EKD,B000084EKG,B000084EK8,B000084EK9,B000084EK4,B000084EK5,B000084EK6,B000084EK7,B0012KH06Y,B000BXUVYG,B004INIUQQ,B0012KB4WU,B007TJGZ54
B001GVISJW,B000NME632,B000G7P50M,B004P7R9Z8,B001HXJP2S,B004QBI6GE,B001EQ5RRU,B000TV8NR2,B0049M99VQ,B001FA1EEK,B004P6ITR6,B004P7QDFK,B001M1V3C0,B001FA1F5I,B002RGU2G2,B000V4WZ0S,B0002ASCRG,B000G7TBMK,B00473UQ78,B000NMCEJK
B000ITVLE2,B0040WHJQM,B004NDV46E,B003UHKYJC,B006J4MAIQ,B001E5DZLG,B005K4Q37A,B007N04BY6,B001R3BQNY,B001EO5RFE,B00474VPLI,B001HTI5XC,B001EJN8IC,B000FFLTM8,B007PA32L2,B007OXJK1Q,B001E5DYG2,B008FS8JD4,B004G8ZBH4,B007N04AJ2
B000ITVLE2,B00382UXU4,B000ITWWZ4,B000V9NFLQ,B0027YUN9K,B00503DQJY,B0002YB40O,B0055ZB0KO,B008BWJ6CW,B003VIFH1K,B001EQ4NWK,B000EM8UJ2,B001LQRJEW,B00503DQK8,B001ATOM3G,NaN,NaN,NaN,NaN,NaN
B0025VRCJY,B005LURI0O,B0052BRVVI,B005D2YIOO,B006J23YE2,B004KL7YT0,B007G6CZA4,B006J23YQ0,B001EPQ05O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B0025VRCJY,B001EO616S,B003Z7VYXW,B001EQ4J7O,B003YVTF30,B0004LZSYS,B002ZOCF0M,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B0025VRCJY,B000633V3O,B0007A0AQW,B003XUL1MK,B0007A0AQM,B0015NE0OI,B0012NUVN0,B002IFEMN6,B002TDYKW0,B000E5C6YE,B000MT4HWG,B000F6R9GM,B0012V1G0Y,B000633V3E,B000BRR8VQ,B000LT0STS,B000H0ZJIG,B003ERA9V6,B004EYHAN8,B001E5E2CC
B005CJVVJ8,B000E7WM0K,B000UOFW9K,B004SRH2B6,B000EPOC2S,B003IDF86C,B000EPP588,B002YR7A9Q,B000EPOC1Y,B001IZM8WY,B000CNB4LE,B001QY4SH0,B000UUWECC,B004SRFYMK,B000SAVWR2,B003CIBPN8,B008MIGHFE,B000EPR1KI,B000UOF0YW,B000UOHJ6O
B005CJVVJ8,B000EHP62G,B005VOOXWQ,B000FR9HE8,B001GVIUYA,B001GVIUVS,B000VK4K50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000NY8ODS,B000ED9LDU,B004A72PKM,B00060PTLO,B0092X7OGY,B000RJARJS,B007NWHPJW,B005HGOIQ4,B0092X7NGU,B00020UGNE,B000EGZ9AG,B0000A0BS8,B0041NYV8E,B0088OIA66,B004ILOH7Y,B001652NBM,B000EVOSE4,B002IEZJMA,B000EH4XZM,B0087GH4US
B004V6AH34,B00408CX8A,B00653KJ5M,B005MJF5ZO,B0092SQT2E,B00028P3CK,B000KNCZKU,B0014UAHQM,B0046GRD0O,B000X3IPQA,B001C5GHCM,B001UJIFRU,B006JMK6V6,B00408KIV4,B007936172,B0046HCDMG,B004W4ZYZQ,B007W63V88,B006GDO6DM,B000MGWEZQ
B0028C44Z0,B0016512YG,B000FA395I,B000HBMBYU,B000YT9L3O,B000FA15PE,B00164V4ZE,B000F9Z1ZK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B0028C44Z0,B000E7WM0K,B007OXJK3Y,B000LQORJS,B001EO5VRI,B000E7YPOQ,B0033HPPIO,B000LKX4IO,B001E5E36W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B0009XLVGA,B001AT4A1K,B001D74BGS,B0009XPD46,B0009XLVDS,B000JL8S4A,B0006U7SEA,B0002ZFP58,B00066N9OC,B001QW2YGY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B0009XLVGA,B000084ETV,B001QE7J2G,B001QEEXCK,B002ANA68G,B0009XQWDM,B001D9JC0G,B001DY6TWU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B0040WAG7Q,B004ZIER34,B000FZRYPO,B00434J154,B000UPALKO,B000EDBQ4M,B007RTR8AC,B003ZTCINA,B004YV80OE,B000U8Z4VW,B001KUULNU,B000LKXFBK,B0054TWQMM,B007RTR89S,B000U96JEC,B005R3ZPSC,B000E1HVCK,B0012ONFFU,B0012ONFRS,B000AYFATW
B001SATU8E,B000E7YPPK,B005A1L5S0,B004WI6FQY,B001HTI4EC,B002WDCGG4,B0016BU7GO,B000LLMAVU,B000E7XKP6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B003SO503C,B003FA0M1O,B003VXFK44,B006N3IG4K,B004R8J8EK,B006N3I84I,B006N3I84I,B0041NYV8E,B004X3VRLG,B0043OX4DY,B000VK339Y,B000VK8HCW,B004342XH2,B004L173WC,B001PMDYZA,B002LANN56,B000E63LP6,B001ELL4F4,B001ELL4F4,B000633ZHG
B000WFRMRW,B000X1Q1G8,B0002L3BYO,B0002L3BYE,B000FFIL92,B003O7DTM2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001EO5ZME,B001EO5ZMY,B003V7XNRQ,B003V7XNRQ,B001HTJITW,B000XJOJPK,B001FB6BG0,B003V8WO1Q,B004Z7FUT0,B004W9SNW2,B001HTNE74,B000R923U4,B001XX43K6,B003PFWMFI,B004T80BYE,B005DNORVW,B000TIZP5I,B00551COSU,B000EA3M92,B000JSO76Q
B0093NIWVO,B004K3EOFU,B003AYGMNC,B0015D87G0,B001VNO6DW,B0093NIVD8,B0094IZWTI,B006WVXT40,B000LKX4W0,B000LKX4ZC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000LKZK7C,B004MA04LY,B001ELL9YA,B000EA2D9W,B004MA3J8Y,B004LOABSC,B0015Z20RU,B004LO5ECA,B0055PU5HS,B0012C2GFM,B003QDRJXY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000LKZK7C,B003HI2ZFU,B001SAVOR4,B001SAZDS0,B0025VQE5W,B001SAZFCE,B0071368VO,B003VKTPNE,B00176AZ2E,B001EDAHZK,B002KOTMX0,B000LKU59A,B00176GK1O,B006DO0YCG,B000LKTXHA,B002JG5TVS,B004748F2A,B0014DPIPO,B0036IO1IK,B0017LELE2
B000LKZK7C,B001EO69NS,B001S38AK0,B001EPPCYE,B001S34CUW,B000QUTRLW,B0001590BY,B000SW4LVY,B003HKY4R0,B001ELLAVC,B001ELLAVW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000LKZK7C,B000OIT8T2,B0041GHV8I,B000NME632,B003X4VJLE,B0033GE6GW,B001EQ4DIY,B001652NBM,B000BPR1AQ,B000LTIDR2,B00110FILY,B004LC6KMU,B0018SPTKE,B003RRBWOG,B0005YLL9K,B003WEFWYA,B0029XO9EO,B00065LI0A,B0001UXQ9Q,B00196P9OQ
B001D07IPG,B000EGX2EG,B001LG945O,B001HBHJ96,B000Q56OYU,B002GXDEZM,B004E4ADKU,B005BPVA08,B004OVATOI,B002ATEZJG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000H13270,B000FDKQCY,B000E3VANO,B001IZICJW,B001EO5TUW,B000FIXYCS,B006W5WDS4,B000FDMLV8,B000V1LXU4,B000FDMLVI,B000H151LA,B000EOWXUM,B001FSISXM,B000FDDESM,B000FDDESC,B001E52ZOE,B0035MZ6JK,B004BRWKII,B0011CVGA4,B001E6K6B2
B000H13270,B001E96JYC,B000V1RBSC,B000LKVDUU,B004N1AXFE,B0014EOU8E,B000GZY9HY,B003372ZFK,B004S07G3W,B004S036IQ,B001E55YXS,B002FBH0AK,B0046HDZLY,B000FFLTEG,B0014EQHR6,B001E5E1PA,B004PEGI7G,B004132UGY,B00295EM12,B000LKTXHA
B001UJEN6C,B0013E21V8,B000G82L62,B000F4EU66,B001OCKIP0,B0005XO2ME,B002G06NEO,B000XHTD1W,B001E5E1N2,B000GREO68,B000LKVSDM,B000P52FO4,B001EQ56DA,B000T3KTJA,B002JG5TVS,B000HDJYA2,B004PELXC6,B003Q4TZ12,B00283A9H6,B003Q4TPAI
B001UJEN6C,B001EO7I38,B000UXYJUE,B001EPPFUK,B001KWXDQ0,B000V17MLS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001UJEN6C,B0013E21V8,B001EQ59W8,B002DLXXHG,B000GKTNXE,B000EHL21U,B000LKU3WY,B000EF3FU8,B0026ECPB0,B004CFJ140,B004INAQMM,B002DHTWNO,B000EHP522,B001CU0N7C,B005GRCWDU,B00315WGNK,B001CTYT6E,B000UUWECC,B0083QJUL8,B0007OVXY6
B003VTN95K,B0018CJYPG,B000WFRUP6,B0018CJXHU,B0018CE7BC,B000WFNLP4,B000WFRN9E,B0018CIO6Q,B0018CIPI8,B000KOWMSE,B0018CJXFC,B0002ML7QW,B000UXFI2M,B0018CIOAW,B0018CJYNS,B000KOS9TK,NaN,NaN,NaN,NaN
B0067LDV66,B001LG945O,B001SER0L4,B007RTR8AC,B001LG940E,B00142DQU4,B002TMV3GC,B004JGQ16I,B000VDL7RG,B0009F3SBY,B001E5E20E,B0051COPH6,B000S83NA8,B007RTR8UW,B000SATIE6,B001OCKIBY,B003XDH6M6,B0026LJRW8,B001EPQGN0,NaN
B0041QJSJS,B004XMIRU6,B007TJGZ5E,B007TJGY46,B000F9FHDQ,B0041QGF08,B003H8Q2E0,B003AP2GKY,B003JA5KLM,B002ZOG29C,B003VDB8SQ,B001J9QBU4,B0027Z8VES,B000HJPBGC,B007PA32OE,B007PA32KI,B001GVISZG,B0041QGQSE,B006N3HZ6K,B008FHUGNQ
B0041QJSJS,B0041QD39O,B0041QGR9W,B0041QGIRI,B0041QI7N6,B0041QIIYY,B0041RVRUA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B002O3VHXU,B004ET7MG8,B005K4Q1VI,B005K4Q1VI,B000VSDFRG,B007J6GGII,B007J6KEPY,B00389Q4XW,B00503DP0O,B007TJGZ5E,B007TJGZ5E,B000Z978SS,B001FA1DYG,B001534R00,B007J6J8J2,B000MP84MO,B000E1FXLG,B0078Y6OX8,B003EHCIMO,B005VOOQLO
B002O3VHXU,B0089SPDUW,B003VXFK44,B006N3IG4K,B007TJGZ5E,B00390T5JA,B0078Y6OX8,B003LTPY08,B008FHUDW0,B008FHUDW0,B001THVDWM,B000EGZ2L2,B00817GPWQ,B002HQLY7S,B000J2JKGO,B0007IQQXA,B0018CLZBW,B003JA5KLM,B000TK6LBS,B000TK6LBS
B002O3VHXU,B00954NYVY,B006N3I3I4,B003S1TQ4O,B00954NY46,B007TJGZ18,B001KTA03C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000UXA3L8,B002TMV3E4,B001EQ5EQE,B003W07D1E,B003VZCZ0O,B001LGGH40,B001FA1DYG,B001BDDTB2,B006WJHOX4,B001FA1LL6,B001EO615O,B001AC87X4,B000HP7KEW,B0041NYV8E,B002GWH6IE,B001E5E05G,B002IEZJMA,B001EQ55ZO,B007K449CE,B001OCKIP0
B001ESOQAM,B001ELLA5I,B00199555Q,B00122CL48,B001EQ4KQE,B0057OOL8Q,B002WWLJQ8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001FA1MCO,B001EQ58MO,B000FDDESC,B0016BU82C,B004IY1MGU,B00473UPN8,B00473NR0Q,B001EPPJT2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001ELL6O8,B003UHPJGA,B001E5DYFS,B001AC57NM,B001ELL60W,B004FWZZX6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B001ELL6O8,B0016865PY,B000EPOC2S,B000EPP588,B000EPOC1Y,B000SAVWR2,B000EPR1KI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000C21OOM,B001LGGH40,B001BDDTB2,B002IEZJMA,B0043OV1AM,B004X3VRLG,B005B3HKPO,B001LG940E,B000AYFCJ0,B002LANN56,B001E5DYMQ,B001BCVY9W,B0090X8IPM,B005SPQENY,B001BCXTGS,B003GTR8IO,B001BCVY4W,B000EMK54U,B000HQOSSM,B0009WSCQ8
B003XV5LHK,B003AYL9NU,B001VIY7O0,B003MI2ATQ,B0001U92XU,B0038MCJPQ,B0018CIP6K,B002UP0O6S,B001HYB2P0,B0007XCQWU,B001P3PR5Y,B001P3PR5O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B000SEJ842,B0054S6L6A,B001EO5YKW,B004I5KOM2,B002HP2XB0,B004A11P90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B004X8TK8I,B000J2DQ46,B000GTFL90,B0046H2ZLA,B00473BA28,B00421EU9A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B004X8TK8I,B003LE6PL0,B003P00OSK,B004TDTZE6,B00346J90Y,B000KHMWQS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B004X8TK8I,B004NNFEA6,B000FBM4FI,B001SB4VSC,B001LGGH40,B004ECVRNO,B000HDOP06,B0025ULL2E,B000F9Z1XM,B000AYFBY6,B000FA38ZY,B002IEZJMA,B001EQ55ZO,B006J4MAIQ,B000ITUEBS,B001LG940E,B000F9Z29U,B002ZJSSEE,B004YV80O4,B004YV80OE
B000G6RYNE,B000G6RYNE,B0013NUGDE,B0058AMY74,B0058AMY74,B007M83302,B0012XBD7I,B0012XBD7I,B000G6MBUA,B000G6MBUA,B00472I5A4,B00472I5A4,B000LKXBL4,B000LKXBL4,B0058AMY10,B0058AMY10,B000VK8AVK,B004I405P4,B000ILILM0,B000ILILLQ
B000G6RYNE,B000G6RYNE,B0058AMY74,B0058AMY74,B0012XBD7I,B0012XBD7I,B000G6MBUA,B000G6MBUA,B005C955WC,B00472I5A4,B00472I5A4,B00018CWZW,B000LKXBL4,B000LKXBL4,B0089Q2AAA,B004ASBLJ2,B001HBXO54,B0058AMY10,B0058AMY10,B002YJCA30
B000G6RYNE,B0058AMY74,B0012XBD7I,B000G6MBUA,B00472I5A4,B000LKXBL4,B0058AMY10,B002QZ7ZBY,B0058AMYTC,B0058AMY5G,B0012ONGZO,B000G6O2QG,B000LKVD5U,B006WYSFZK,B004728MI4,B001SAXPEO,NaN,NaN,NaN,NaN
B000G6RYNE,B000G6RYNE,B0058AMY74,B0058AMY74,B001E5E0A6,B0012XBD7I,B0012XBD7I,B000G6MBUA,B000G6MBUA,B00472I5A4,B00472I5A4,B0015YHFU8,B000LKXBL4,B000LKXBL4,B000HDMV3E,B0058AMY10,B0058AMY10,B0015YJD1C,B0058AMYTC,B0058AMYTC
B000G6RYNE,B003V8Y5F4,B0058AMY74,B0012XBD7I,B000G6MBUA,B00472I5A4,B000LKXBL4,B002UC9I3Q,B0058AMY10,B0058AMYTC,B0058AMY5G,B000G6O2QG,B000MDHHWY,B000LKVD5U,B006WYSFZK,B004728MI4,B001SAXPEO,NaN,NaN,NaN
B000G6RYNE,B0058AMY74,B0012XBD7I,B000G6MBUA,B00472I5A4,B003V5V5J6,B000LKXBL4,B0058AMY10,B0058AMYTC,B0058AMY5G,B0042YU5EQ,B000G6O2QG,B000LKVD5U,B006WYSFZK,B004728MI4,B001SAXPEO,NaN,NaN,NaN,NaN
B000G6RYNE,B000G6RYNE,B000G6RYNE,B001GSOIY4,B006Q7WYWS,B004PEGIJY,B0058AMY74,B0058AMY74,B0058AMY74,B0062A87HA,B0048KEEBE,B000XB5ITY,B0009F3PIK,B0012XBD7I,B0012XBD7I,B0012XBD7I,B001FA1DGY,B004UGACUI,B000G6MBUA,B000G6MBUA
B000G6RYNE,B0058AMY74,B0012XBD7I,B000G6MBUA,B00472I5A4,B000LKXBL4,B002N4ID5K,B0058AMY10,B000633NXM,B0058AMYTC,B0058AMY5G,B000G6O2QG,B000LKVD5U,B006WYSFZK,B004728MI4,B001SAXPEO,NaN,NaN,NaN,NaN
B000G6RYNE,B004ZIER34,B0058AMY74,B002NHYQAS,B0041NYV8E,B002Y2QTNO,B0012XBD7I,B000EVOSE4,B002IEZJMA,B000G6MBUA,B007I7Z3Z0,B0012XBCZQ,B00472I5A4,B004LL97EO,B000LKXBL4,B004FELBH8,B0054TWQMM,B001E5E0BA,B005BHIESC,B000Q7JSIM
B000G6RYNE,B002YZESWU,B004RDRHAW,B000EVT04C,B0058AMY74,B0012XBD7I,B000G6MBUA,B004F1LNDI,B001LQTEF4,B00472I5A4,B002YAQ3XW,B000LKXBL4,B006DHJW2Q,B003FE1O3K,B004S60Y26,B003THML30,B0058AMY10,B004K4XN3S,B004YWHTBS,B003WLC4VC
B000G6RYNE,B0058AMY74,B0012XBD7I,B000G6MBUA,B00472I5A4,B000LKXBL4,B000FDP5XE,B0058AMY10,B000EPMP1S,B0058AMYTC,B0058AMY5G,B0031YOCOC,B000G6O2QG,B000LKVD5U,B006WYSFZK,B004728MI4,B001SAXPEO,NaN,NaN,NaN
B000G6RYNE,B004391DK0,B0058AMY74,B0012XBD7I,B000G6MBUA,B00472I5A4,B000LKXBL4,B0058AMY10,B0058AMYTC,B000EVWQZW,B0058AMY5G,B000G6O2QG,B000LKVD5U,B006WYSFZK,B004728MI4,B001SAXPEO,NaN,NaN,NaN,NaN
B000G6RYNE,B002YSA1PU,B002UL1K6K,B0013NUGDE,B0058AMY74,B004NDV46E,B007M83302,B001E5E0T2,B0012XBD7I,B000G6MBUA,B00472I5A4,B000LKXBL4,B001FA1MQ0,B000TBOHYA,B0058AMY10,B0019KPKQE,B004H3N2LU,B006FS0NSA,B000VK8AVK,B00013YMW8
